gene,RNA,protein,
426,0.127662435,0.702663545,
427,0.035472994,0.179612951,
428,0.036968987,0.121911048,
429,0.329086894,-0.22749985,
430,0.00604756,0.606610662,
431,-0.049521611,0.085837673,
432,0.106678975,-0.021703631,
433,0.131824187,0.078842912,
434,-0.093942559,-0.124928159,
435,0.010413785,0.237143807,
436,-0.068335862,-0.176655849,
437,-0.055332898,-0.240566721,
438,0.004766373,-0.07193647,
439,-0.179882673,0.129026592,
440,-0.339505806,-0.621797619,
441,-0.056900754,-0.227401257,
442,-0.057288144,0.184278401,
443,0.033521665,-0.14817363,
444,0.146825038,0.506232924,
445,0.061981758,0.445866838,
446,0.106843198,0.140866905,
447,-0.001436799,0.201835767,
448,0.130927964,0.253286078,
449,-0.001372907,-0.046689816,
450,0.110862741,0.084611196,
451,0.060058134,0.546783405,
452,-0.010354388,-0.085153431,
453,-0.024586208,-0.245780926,
454,0.059303541,-0.026971455,
455,-0.155853993,-0.288480484,
456,0.029102303,-0.155538273,
457,0.593608564,1.71726536,
458,-0.061767476,-0.036123397,
459,-0.02284205,0.071850291,
460,0.058805646,0.280283914,
461,-0.032601136,0.082544004,
462,-0.139267537,-0.097610527,
463,-0.006501176,-0.339727619,
464,0.021924084,-0.015691867,
465,-0.000871221,0.065568996,
466,-0.031815629,0.09446236,
467,-0.079053081,-0.049767132,
468,0.328748826,0.539793678,
469,0.029274263,0.185104554,
470,-0.09094988,0.053491581,
471,-0.071222093,0.324181575,
472,0.046350343,-0.114220246,
473,0.021341872,0.188790871,
474,-0.000589009,0.143523574,
475,-0.059576595,0.159950546,
476,-0.095828096,0.273452586,
477,-0.085301675,0.216777089,
478,0.731124406,0,
479,-0.068719955,-0.295907225,
480,0.07620194,-0.046946293,
481,0.012432742,0.038553499,
482,-0.036580623,0.324181575,
483,0.054419919,-0.105210917,
484,0.126799907,-0.009870895,
485,-0.113951164,0.502641367,
486,0.080003967,0.377286745,
487,0.012910216,-0.003897641,
488,-0.114515498,-0.074186915,
489,0.065349013,0.259727906,
490,0.116711092,0.02715563,
491,-0.101920238,0.240411358,
492,-0.011763759,0.10808245,
493,-0.071121359,-0.280760534,
494,0.01536853,0.533667651,
