Gene names,ratio,P
MEN1,0.960411931,0.113077864
CEP290,1.020036791,0.84969778
PRIM2,0.910520227,0.000926397
BRI3BP,0.934815681,0.233718462
ARHGEF2,1.026241311,0.433646543
JAK1,0.953428562,0.04264674
EED,0.937851135,0.062086556
NELFB,0.938944456,0.011923336
,0.925830509,0.011379481
ETNK1,1.155479867,0.046648998
ATP5S,0.976662959,0.206247388
CPEB2,1.311856597,0.016827046
THOC7,1.080595,0.042761878
CRELD1,1.012833933,0.915557174
MLH1,0.96050921,0.134270815
CUL4B,1.224545569,0.006253738
,1.03474288,0.484635542
GBF1,1.056807399,0.261479612
EP300,0.970135098,0.706624662
BCAP29,1.029832857,0.682706555
CXXC1,0.97891195,0.353379878
TMEM30A,0.988325968,0.850371151
WIZ,1.004412391,0.877527626
C21orf59,0.906148811,0.184391433
MAST2,0.951047996,0.287453023
ADNP,1.000757925,0.971969435
SFMBT2,1.01301554,0.889012114
,1.097546362,0.415967367
LDB1;LDB2,0.892663105,0.056143606
LARS,0.991672649,0.405614263
PTPRO,0.99568564,0.822702162
GNL3L,0.971829447,0.255323582
GPATCH11,0.967440962,0.624556809
AGO1,1.037885353,0.665320768
GOLGA2,1.083525853,0.143923805
CEP41,1.033006738,0.824567062
GDAP1,1.047011436,0.161866398
NDE1,0.993862772,0.771689736
CLCC1,0.984222088,0.770008232
IFRD1,1.081925209,0.816601005
FAM111A,1.183585512,0.414845395
FIG4,1.020477398,0.810214215
IKBKAP,0.97297847,0.235828358
DYM,0.987307891,0.622006881
KIF2A,0.965637886,0.125942715
POMK,0.823108149,0.252895004
NEDD4L,0.260571306,0.582632234
LMNA,1.138730574,0.062671994
LRSAM1,1.111705631,0.015668777
PAFAH1B1,0.997918092,0.835534685
FANCD2,0.899406832,0.230721569
TFG,1.013182509,0.462835665
SLC52A2,0.902916088,0.029637571
GARS,0.991418502,0.341302685
POLR2A,1.02108769,0.373956585
FANCI,0.955316993,0.365631206
MTR,0.947678734,0.033050156
INF2,0.948371541,0.063716308
,0.843335423,0.341501892
MTMR2,0.91736429,0.011732332
SPATA5,0.991407486,0.447682494
MFN2,1.01601466,0.888345585
CAST,1.023942206,0.546965377
SLC12A6,0.888724698,0.079717617
MACROD1,0.728413374,0.213954378
HARS,1.026938967,0.513639041
GATM,1.08339518,0.217234675
KAT7,0.768589629,0.208307018
TRIP12,1.165160928,0.026844474
NT5C2,1.046452831,0.128041987
